trial_id,source_filename,open_reference_relpath,open_reference_url,item1_role,item1_relpath,item1_url,item2_role,item2_relpath,item2_url,item3_role,item3_relpath,item3_url,item4_role,item4_relpath,item4_url,item5_role,item5_relpath,item5_url,item6_role,item6_relpath,item6_url,item7_role,item7_relpath,item7_url,item8_role,item8_relpath,item8_url
1,8555_284447_000046_000000.wav,ref/01_8555_284447_000046_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/ref/01_8555_284447_000046_000000.wav,sys5,sys5/01_8555_284447_000046_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys5/01_8555_284447_000046_000000.wav,sys4,sys4/01_8555_284447_000046_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys4/01_8555_284447_000046_000000.wav,sys2,sys2/01_8555_284447_000046_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys2/01_8555_284447_000046_000000.wav,sys6,sys6/01_8555_284447_000046_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys6/01_8555_284447_000046_000000.wav,anchor,anchor/01_8555_284447_000046_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/anchor/01_8555_284447_000046_000000.wav,hidden_ref,hidden_ref/01_8555_284447_000046_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/hidden_ref/01_8555_284447_000046_000000.wav,sys1,sys1/01_8555_284447_000046_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys1/01_8555_284447_000046_000000.wav,sys3,sys3/01_8555_284447_000046_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys3/01_8555_284447_000046_000000.wav
2,1995_1826_000047_000000.wav,ref/02_1995_1826_000047_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/ref/02_1995_1826_000047_000000.wav,anchor,anchor/02_1995_1826_000047_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/anchor/02_1995_1826_000047_000000.wav,sys5,sys5/02_1995_1826_000047_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys5/02_1995_1826_000047_000000.wav,hidden_ref,hidden_ref/02_1995_1826_000047_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/hidden_ref/02_1995_1826_000047_000000.wav,sys2,sys2/02_1995_1826_000047_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys2/02_1995_1826_000047_000000.wav,sys4,sys4/02_1995_1826_000047_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys4/02_1995_1826_000047_000000.wav,sys3,sys3/02_1995_1826_000047_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys3/02_1995_1826_000047_000000.wav,sys1,sys1/02_1995_1826_000047_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys1/02_1995_1826_000047_000000.wav,sys6,sys6/02_1995_1826_000047_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys6/02_1995_1826_000047_000000.wav
3,1995_1837_000011_000001.wav,ref/03_1995_1837_000011_000001.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/ref/03_1995_1837_000011_000001.wav,sys3,sys3/03_1995_1837_000011_000001.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys3/03_1995_1837_000011_000001.wav,sys5,sys5/03_1995_1837_000011_000001.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys5/03_1995_1837_000011_000001.wav,anchor,anchor/03_1995_1837_000011_000001.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/anchor/03_1995_1837_000011_000001.wav,hidden_ref,hidden_ref/03_1995_1837_000011_000001.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/hidden_ref/03_1995_1837_000011_000001.wav,sys6,sys6/03_1995_1837_000011_000001.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys6/03_1995_1837_000011_000001.wav,sys4,sys4/03_1995_1837_000011_000001.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys4/03_1995_1837_000011_000001.wav,sys2,sys2/03_1995_1837_000011_000001.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys2/03_1995_1837_000011_000001.wav,sys1,sys1/03_1995_1837_000011_000001.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys1/03_1995_1837_000011_000001.wav
4,3570_5694_000006_000002.wav,ref/04_3570_5694_000006_000002.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/ref/04_3570_5694_000006_000002.wav,sys5,sys5/04_3570_5694_000006_000002.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys5/04_3570_5694_000006_000002.wav,sys6,sys6/04_3570_5694_000006_000002.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys6/04_3570_5694_000006_000002.wav,sys3,sys3/04_3570_5694_000006_000002.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys3/04_3570_5694_000006_000002.wav,sys2,sys2/04_3570_5694_000006_000002.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys2/04_3570_5694_000006_000002.wav,sys4,sys4/04_3570_5694_000006_000002.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys4/04_3570_5694_000006_000002.wav,hidden_ref,hidden_ref/04_3570_5694_000006_000002.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/hidden_ref/04_3570_5694_000006_000002.wav,anchor,anchor/04_3570_5694_000006_000002.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/anchor/04_3570_5694_000006_000002.wav,sys1,sys1/04_3570_5694_000006_000002.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys1/04_3570_5694_000006_000002.wav
5,4970_29095_000041_000001.wav,ref/05_4970_29095_000041_000001.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/ref/05_4970_29095_000041_000001.wav,hidden_ref,hidden_ref/05_4970_29095_000041_000001.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/hidden_ref/05_4970_29095_000041_000001.wav,sys3,sys3/05_4970_29095_000041_000001.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys3/05_4970_29095_000041_000001.wav,sys4,sys4/05_4970_29095_000041_000001.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys4/05_4970_29095_000041_000001.wav,anchor,anchor/05_4970_29095_000041_000001.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/anchor/05_4970_29095_000041_000001.wav,sys1,sys1/05_4970_29095_000041_000001.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys1/05_4970_29095_000041_000001.wav,sys5,sys5/05_4970_29095_000041_000001.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys5/05_4970_29095_000041_000001.wav,sys2,sys2/05_4970_29095_000041_000001.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys2/05_4970_29095_000041_000001.wav,sys6,sys6/05_4970_29095_000041_000001.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys6/05_4970_29095_000041_000001.wav
6,1188_133604_000055_000000.wav,ref/06_1188_133604_000055_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/ref/06_1188_133604_000055_000000.wav,anchor,anchor/06_1188_133604_000055_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/anchor/06_1188_133604_000055_000000.wav,sys1,sys1/06_1188_133604_000055_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys1/06_1188_133604_000055_000000.wav,sys6,sys6/06_1188_133604_000055_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys6/06_1188_133604_000055_000000.wav,sys3,sys3/06_1188_133604_000055_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys3/06_1188_133604_000055_000000.wav,hidden_ref,hidden_ref/06_1188_133604_000055_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/hidden_ref/06_1188_133604_000055_000000.wav,sys5,sys5/06_1188_133604_000055_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys5/06_1188_133604_000055_000000.wav,sys2,sys2/06_1188_133604_000055_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys2/06_1188_133604_000055_000000.wav,sys4,sys4/06_1188_133604_000055_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys4/06_1188_133604_000055_000000.wav
7,1995_1826_000036_000001.wav,ref/07_1995_1826_000036_000001.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/ref/07_1995_1826_000036_000001.wav,sys1,sys1/07_1995_1826_000036_000001.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys1/07_1995_1826_000036_000001.wav,hidden_ref,hidden_ref/07_1995_1826_000036_000001.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/hidden_ref/07_1995_1826_000036_000001.wav,sys5,sys5/07_1995_1826_000036_000001.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys5/07_1995_1826_000036_000001.wav,sys3,sys3/07_1995_1826_000036_000001.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys3/07_1995_1826_000036_000001.wav,anchor,anchor/07_1995_1826_000036_000001.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/anchor/07_1995_1826_000036_000001.wav,sys2,sys2/07_1995_1826_000036_000001.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys2/07_1995_1826_000036_000001.wav,sys6,sys6/07_1995_1826_000036_000001.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys6/07_1995_1826_000036_000001.wav,sys4,sys4/07_1995_1826_000036_000001.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys4/07_1995_1826_000036_000001.wav
8,4446_2273_000017_000000.wav,ref/08_4446_2273_000017_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/ref/08_4446_2273_000017_000000.wav,sys1,sys1/08_4446_2273_000017_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys1/08_4446_2273_000017_000000.wav,anchor,anchor/08_4446_2273_000017_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/anchor/08_4446_2273_000017_000000.wav,sys2,sys2/08_4446_2273_000017_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys2/08_4446_2273_000017_000000.wav,sys3,sys3/08_4446_2273_000017_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys3/08_4446_2273_000017_000000.wav,sys4,sys4/08_4446_2273_000017_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys4/08_4446_2273_000017_000000.wav,sys6,sys6/08_4446_2273_000017_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys6/08_4446_2273_000017_000000.wav,sys5,sys5/08_4446_2273_000017_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys5/08_4446_2273_000017_000000.wav,hidden_ref,hidden_ref/08_4446_2273_000017_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/hidden_ref/08_4446_2273_000017_000000.wav
9,8463_294828_000037_000000.wav,ref/09_8463_294828_000037_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/ref/09_8463_294828_000037_000000.wav,sys4,sys4/09_8463_294828_000037_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys4/09_8463_294828_000037_000000.wav,sys3,sys3/09_8463_294828_000037_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys3/09_8463_294828_000037_000000.wav,sys2,sys2/09_8463_294828_000037_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys2/09_8463_294828_000037_000000.wav,anchor,anchor/09_8463_294828_000037_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/anchor/09_8463_294828_000037_000000.wav,sys1,sys1/09_8463_294828_000037_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys1/09_8463_294828_000037_000000.wav,sys5,sys5/09_8463_294828_000037_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys5/09_8463_294828_000037_000000.wav,hidden_ref,hidden_ref/09_8463_294828_000037_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/hidden_ref/09_8463_294828_000037_000000.wav,sys6,sys6/09_8463_294828_000037_000000.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys6/09_8463_294828_000037_000000.wav
10,121_127105_000042_000003.wav,ref/10_121_127105_000042_000003.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/ref/10_121_127105_000042_000003.wav,hidden_ref,hidden_ref/10_121_127105_000042_000003.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/hidden_ref/10_121_127105_000042_000003.wav,anchor,anchor/10_121_127105_000042_000003.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/anchor/10_121_127105_000042_000003.wav,sys6,sys6/10_121_127105_000042_000003.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys6/10_121_127105_000042_000003.wav,sys3,sys3/10_121_127105_000042_000003.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys3/10_121_127105_000042_000003.wav,sys2,sys2/10_121_127105_000042_000003.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys2/10_121_127105_000042_000003.wav,sys5,sys5/10_121_127105_000042_000003.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys5/10_121_127105_000042_000003.wav,sys1,sys1/10_121_127105_000042_000003.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys1/10_121_127105_000042_000003.wav,sys4,sys4/10_121_127105_000042_000003.wav,https://xhjiang1.github.io/wav4mushra/publish/1.3kbps/sys4/10_121_127105_000042_000003.wav
